origen,destino,nombre_calle,distancia,direccion,factor_trafico
4087230806,726943232,5a Avenida,191.06,sur-oeste,1.0
4087230806,479440919,13 Calle,71.25,norte-oeste,1.0
4100532182,528222043,Avenida Las Américas,162.34,sur-oeste,1.0
4398381662,9152508296,Avenida Las Américas,28.14,norte-este,1.0
4696504125,4696504126,15 Calle A,75.47,sur-este,1.0
4696504126,410452879,Avenida Reforma,101.2,sur-oeste,1.0
4696504126,4696504125,15 Calle A,75.47,norte-oeste,1.0
5397068453,12079442907,7a Avenida,7.7,norte-este,1.0
5399456164,528215918,11 Calle,81.38,norte-oeste,1.0
5399456167,528202626,Sin nombre,31.93,norte-este,1.0
5399456167,528216862,11 Calle,76.09,sur-este,1.0
5764198882,528222460,8a Calle,61.88,norte-oeste,1.0
6037880180,3820122587,Avenida Reforma,25.74,sur-oeste,1.0
6037880180,3820122590,12 Calle,32.82,norte-este,1.0
6135927153,282391143,Boulevard Liberación,81.43,sur-este,1.0
6135927153,708248852,Sin nombre,71.59,sur-este,1.0
6135927164,4066895530,Diagonal 12,38.34,norte-oeste,1.0
6145873709,410449191,Sin nombre,15.94,norte-este,1.0
7047606323,479441026,Plaza España,94.97,norte-oeste,1.0
7047606323,11583042385,Plaza España,10.6,sur-este,1.0
7047752412,516392127,Avenida Reforma,69.91,sur-oeste,1.0
7124905985,410408024,Avenida La Castellana,17.07,sur-oeste,1.0
7127559418,12636194325,6a Avenida,6.02,sur-oeste,1.0
9152508296,413315361,Avenida Las Américas,128.57,norte-este,1.0
9152508296,410698241,Sin nombre,72.24,norte-oeste,1.0
9482261012,282481401,Boulevard Liberación,54.18,norte-oeste,1.0
9716924055,410447626,6a Avenida,31.89,sur-oeste,1.0
9716924055,9482261012,6a Avenida,197.25,sur-oeste,1.0
9716924055,476530617,Sin nombre,304.7,sur-oeste,1.0
9716924063,12079442910,7a Avenida,11.3,norte-este,1.0
9716924063,12079442907,Sin nombre,21.05,norte-este,1.0
10858926469,4066829230,Boulevard Liberación,31.05,norte-oeste,1.0
11098923839,11098923842,Sin nombre,6.61,sur-oeste,1.0
11098923840,11098923841,Sin nombre,9.69,norte-este,1.0
11098923841,528142720,11 Calle,54.97,norte-oeste,1.0
11098923841,11098923840,Sin nombre,9.69,sur-oeste,1.0
11098923842,11098923839,Sin nombre,6.61,norte-este,1.0
11583024563,11583024564,Sin nombre,30.64,norte-este,1.0
